time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,5.5417011458e-08,-8.74110350312e-08,10.0026691749,6.28293552975,6.28309795947,0.0,6.05871929827e-06,-1.37724698927e-05,0.088969000897,-0.0141602741416,-0.00453933135655,0.0,433.33019931608527,432.9485462665626,434.2266885628381,433.0374606933262
0.12000000000000001,3.0994619453e-06,-8.80439678369e-06,10.0097509122,6.28209680395,6.28281526733,0.0,0.000121995762878,-0.000357667560785,0.147082624628,-0.0136182031738,-0.00505820413433,0.0,422.9473532743357,422.90275491391134,423.8824790747711,423.929153147632
0.18,1.94533549584e-05,-5.63642085802e-05,10.0218977829,6.28110743142,6.28227139797,0.0,0.00046543332562,-0.00132045584483,0.257793693625,-0.0229589417719,-0.0186068225647,0.0,439.805783503586,438.6824931498504,441.7777560456167,441.007103470295
0.23999999999999996,7.39113364608e-05,-0.000190594395628,10.0433910619,6.27924216551,6.28076530295,0.0,0.00149726265499,-0.00333205508508,0.458588674754,-0.0569936595728,-0.0430798537888,0.0,469.241339898045,467.3378130196213,468.8057047367367,466.1535947881701
0.3,0.000237096064758,-0.000506332789141,10.0785464768,6.27547162517,6.27781052388,0.0,0.00428235870507,-0.00763623658513,0.71313095517,-0.0783247683215,-0.0659218193383,0.0,484.42392622539785,482.70206533181243,484.67361747594566,483.0653391491817
0.36000000000000004,0.000611574156422,-0.00112940122751,10.1229082412,6.2709818545,6.27369756068,0.0,0.00858257108666,-0.0135679625244,0.765553874383,-0.0686265472929,-0.0744006469771,0.0,422.6346056345397,421.89942891062486,421.48443164554783,422.3168927133484
0.4200000000000001,0.00139857762233,-0.00228526727859,10.1775526411,6.26697308148,6.26888110278,0.0,0.0182475682883,-0.0254864675755,1.05569008833,-0.063413728918,-0.0958446919013,0.0,494.9633600399419,493.37818864601365,494.08542551337626,494.46669346420225
0.48000000000000015,0.00279542606466,-0.00414801936114,10.2429497185,6.26310890183,6.26391796864,0.0,0.0288265753841,-0.0369771754707,1.12413218966,-0.0664577587905,-0.0646109007739,0.0,426.40202194918777,429.05529010611593,428.3369396302017,428.07480033310947
0.5400000000000001,0.00507331340325,-0.00693776525681,10.3201697951,6.2590192727,6.25961803199,0.0,0.0476408525181,-0.0565530511393,1.44949239825,-0.0718021539605,-0.0920298669944,0.0,506.373572116245,504.3939397958529,504.246823073104,503.8577315403569
0.6000000000000002,0.00850030419195,-0.0109080218465,10.4125889664,6.25442806042,6.25401793192,0.0,0.0672203654499,-0.0762873027668,1.63087501958,-0.0881870215918,-0.0960799736394,0.0,464.402465574043,464.0777321494565,464.79958373133934,463.5093400289694
0.6600000000000003,0.0131468744133,-0.0160884848623,10.5130597105,6.24904051391,6.24779346136,0.0,0.0882535842154,-0.0969246823637,1.71798566889,-0.0932112616243,-0.127026737002,0.0,436.97410142159725,434.3765924580197,435.8023308693338,435.3752698844311
0.7200000000000003,0.0192971118795,-0.0227209675519,10.6216959684,6.24300940984,6.24037680118,0.0,0.117604429502,-0.124804532576,1.90287339518,-0.12204518431,-0.11753646372,0.0,466.48529250980994,467.21261067885473,466.68511739700705,464.4204787284648
0.7800000000000004,0.0274231285382,-0.0312155752222,10.7424231057,6.23556158306,6.23303248831,0.0,0.154103283749,-0.159213283783,2.12090326303,-0.128661285602,-0.134540975629,0.0,477.4715506551587,476.15991019118326,476.9338173760895,476.41538071511377
0.8400000000000004,0.0379120162252,-0.0419476334638,10.8760364387,6.22754706939,6.22514259398,0.0,0.196450458732,-0.199428351872,2.33236122378,-0.145853628399,-0.126023453229,0.0,475.24598129098206,475.8836669511457,476.6805140483394,475.3495835567499
0.9000000000000005,0.0511804968898,-0.0553384072473,11.0231847809,6.2190794582,6.21797447028,0.0,0.246702257122,-0.247952018789,2.57194543497,-0.133049462942,-0.108833035152,0.0,483.4776882643061,484.7593303529305,485.47578606834736,486.41875143949267
0.9600000000000005,0.067398429512,-0.0716108890415,11.181093086,6.21154394072,6.21181518146,0.0,0.294539672749,-0.295252814052,2.69127531314,-0.113783424237,-0.0925239371183,0.0,449.4579662103177,450.7686314537062,449.86430774037035,451.4072319413757
1.0200000000000005,0.086629291993,-0.0908915669638,11.346350157,6.20524882728,6.20628034868,0.0,0.347052258596,-0.348100264307,2.81687688771,-0.0913830549942,-0.0916998252403,0.0,453.7907221144979,453.84989176263383,451.56250818528525,453.3561837950299
1.0800000000000005,0.108974803783,-0.113316546857,11.5171501601,6.19997462558,6.20042391292,0.0,0.398326051602,-0.39989917518,2.87620078354,-0.0817256613426,-0.113298142468,0.0,433.57503547275616,431.747872049904,433.0436335901608,433.8485620641816
1.1400000000000006,0.134682446617,-0.139118043208,11.693487366,6.19482776809,6.19456799421,0.0,0.45922304292,-0.46064800788,3.00125308663,-0.0954565028371,-0.0771239340556,0.0,453.0884474995385,455.97876966258184,454.85480209198573,453.7478492240678
1.2000000000000006,0.164436943344,-0.168950456935,11.8803595824,6.18954733037,6.1895291207,0.0,0.533109737006,-0.534365266603,3.22705596445,-0.0762059888009,-0.103467126494,0.0,486.8318187872193,484.8512504755879,484.4158650133596,485.8553983892133
1.2600000000000007,0.198600320162,-0.203176532104,12.0791371281,6.18491591277,6.18297867784,0.0,0.606331177133,-0.606967343402,3.39820126602,-0.0792341210863,-0.12413551988,0.0,472.1269243681497,470.51947044740837,470.7224608758631,470.48369802399515
